ID,Section,Label,Country,Year,Value,Flag,Breakdown,,
ECEC1,ECEC,Shares of children in formal ECEC ,Croatia,2021,72.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Italy,2021,93,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Cyprus,2021,87.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Latvia,2021,88.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Lithuania,2021,86.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Luxembourg,2021,97.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Hungary,2021,100,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Malta,2021,90.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Netherlands,2021,97.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Austria,2021,89.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Poland,2021,79.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Portugal,2021,88.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Romania,2021,61.7,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovenia,2021,87.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovakia,2021,76.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Finland,2021,91.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Sweden,2021,98.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,EU27,2022,89.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Belgium,2022,98.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Bulgaria,2022,92.7,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Czechia,2022,79.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Denmark,2022,93,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Germany,2022,89.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Estonia,2022,95.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Ireland,2022,94.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Greece,2022,80.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Spain,2022,96.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,France,2022,92.3,,Children aged 3 up to compulsory school age,,
